Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0603_1608Metric",147.864986,-95.730672,-90.000000,top
"C2","1uF","C_0603_1608Metric",140.614986,-95.730672,90.000000,top
"C3","100nF","C_0402_1005Metric",105.614986,-90.850000,0.000000,top
"C4","1uF","C_0603_1608Metric",119.114986,-96.730672,180.000000,top
"C5","100nF","C_0402_1005Metric",121.614986,-98.480672,-90.000000,top
"C6","100nF","C_0402_1005Metric",122.364986,-95.930672,45.000000,top
"C7","15pF","C_0402_1005Metric",126.800000,-92.000000,45.000000,top
"C8","15pF","C_0402_1005Metric",132.200000,-94.000000,-45.000000,top
"C9","15pF","C_0402_1005Metric",124.700000,-94.200000,-135.000000,top
"C10","15pF","C_0402_1005Metric",130.700000,-92.500000,135.000000,top
"J1","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",103.614986,-84.730672,90.000000,top
"J2","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",147.614986,-113.730672,-90.000000,top
"J3","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",147.614986,-84.730672,-90.000000,top
"J4","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",103.614986,-113.730672,90.000000,top
"J5","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",97.114986,-103.070672,180.000000,top
"D2","RED","LED_0805_2012Metric",112.864986,-101.980672,-90.000000,top
"D1","GREEN","LED_0805_2012Metric",144.302486,-103.480672,0.000000,top
"R1","100","R_0603_1608Metric",144.364986,-101.230672,0.000000,top
"R2","100","R_0603_1608Metric",115.614986,-101.873172,-90.000000,top
"R3","100","R_0603_1608Metric",105.614986,-100.150000,0.000000,top
"SW1","RESET","SW-SMD_4P-L4.2-W3.2-P2.20-LS4.6",105.614986,-94.600000,-90.000000,top
"U1","USB_B_Micro","MICRO-USB-SMD_MICRO-7.2JB",156.975058,-98.730672,90.000000,top
"U2","TPMIC5504","SOT-23-5",144.114986,-95.730672,180.000000,top
"U3","STM8L151K6T6","LQFP-32_7x7mm_P0.8mm",128.364986,-98.730672,-45.000000,top
"SW2","USER","SW-SMD_4P-L4.2-W3.2-P2.20-LS4.6",105.614986,-104.400000,90.000000,top
"Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",124.700000,-90.900000,-135.000000,top
"Y2","32K768Hz","Crystal_SMD_2012-2Pin_2.0x1.2mm",132.600000,-92.100000,135.000000,top
